,Date,Open,High,Low,Close,Adj Close,Volume
1623,2003-12-26,21688.0,21829.0,21688.0,21807.0,21807.0,0.0
4207,2014-04-30,51837.0,51837.0,51250.0,51626.0,51626.0,4623600.0
647,2000-03-30,18053.0,18053.0,17455.0,17647.0,17647.0,0.0
5325,2018-10-22,84222.0,85772.0,84222.0,85597.0,85597.0,3873700.0
3715,2012-05-02,61820.0,62502.0,61594.0,62424.0,62424.0,2955600.0
5032,2017-08-24,70482.0,71238.0,70482.0,71133.0,71133.0,3113000.0
3331,2010-10-13,70950.0,71995.0,70950.0,71675.0,71675.0,2985000.0
4956,2017-05-10,66284.0,67528.0,66284.0,67350.0,67350.0,3174100.0
1460,2003-05-13,13322.0,13565.0,13316.0,13421.0,13421.0,0.0
5584,2019-11-07,108360.0,109672.0,108360.0,109581.0,109581.0,6075600.0
4342,2014-11-11,52718.0,52718.0,52003.0,52474.0,52474.0,2678500.0
3057,2009-09-02,55813.0,55948.0,55386.0,55386.0,55386.0,1644400.0
2405,2007-01-15,43095.0,43473.0,42875.0,42919.0,42919.0,45027800.0
6090,2021-11-29,102227.0,104149.0,102226.0,102814.0,102814.0,10283300.0
1264,2002-08-12,10008.0,10009.0,9687.0,9724.0,9724.0,0.0
1539,2003-09-01,15174.0,15374.0,15075.0,15352.0,15352.0,0.0
1737,2004-06-03,19723.0,19776.0,19332.0,19400.0,19400.0,0.0
189,1998-06-29,9464.0,9632.0,9464.0,9604.0,9604.0,0.0
2539,2007-07-31,54602.0,55662.0,54169.0,54183.0,54183.0,60286200.0
5588,2019-11-13,106751.0,106786.0,105261.0,105914.0,105914.0,5339000.0
2853,2008-11-05,40245.0,40245.0,37711.0,37786.0,37786.0,2127800.0
4646,2016-02-11,40370.0,40370.0,38928.0,39318.0,39318.0,3794000.0
2124,2005-12-12,32925.0,33299.0,32868.0,32971.0,32971.0,0.0
4286,2014-08-25,58408.0,59743.0,58408.0,59735.0,59735.0,2875600.0
991,2001-07-25,13738.0,13956.0,13679.0,13956.0,13956.0,0.0
2846,2008-10-27,31480.0,31480.0,29435.0,29435.0,29435.0,1696200.0
2238,2006-05-22,37732.0,37732.0,35664.0,36497.0,36497.0,0.0
343,1999-01-29,8052.0,8540.0,8052.0,8172.0,8172.0,0.0
1938,2005-03-16,27587.0,27841.0,27260.0,27827.0,27827.0,0.0
4889,2017-01-30,66025.0,66025.0,64165.0,64302.0,64302.0,2264300.0
1379,2003-01-20,11675.0,11742.0,11545.0,11648.0,11648.0,0.0
1576,2003-10-22,18449.0,18449.0,18221.0,18235.0,18235.0,0.0
1110,2002-01-08,14385.0,14385.0,14099.0,14168.0,14168.0,0.0
5623,2020-01-09,116248.0,116820.0,115411.0,115947.0,115947.0,5953500.0
4741,2016-06-28,49252.0,50301.0,49252.0,50007.0,50007.0,3406400.0
5303,2018-09-19,78268.0,79021.0,77624.0,78169.0,78169.0,3780800.0
3,1997-10-10,12609.0,12778.0,12609.0,12737.0,12737.0,0.0
983,2001-07-13,13907.0,14087.0,13737.0,14078.0,14078.0,0.0
1454,2003-05-05,12829.0,12870.0,12717.0,12833.0,12833.0,0.0
5127,2018-01-05,78644.0,79071.0,78218.0,79071.0,79071.0,2747100.0
5643,2020-02-06,116033.0,117382.0,114723.0,115190.0,115190.0,7382400.0
3003,2009-06-18,51050.0,51275.0,50510.0,50903.0,50903.0,1165000.0
5322,2018-10-17,85714.0,86167.0,84944.0,85764.0,85764.0,4858600.0
1990,2005-06-01,25209.0,25993.0,25209.0,25949.0,25949.0,0.0
5704,2020-05-08,78152.0,80557.0,78152.0,80263.0,80263.0,10734400.0
18,1997-10-31,9609.0,9609.0,8456.0,8986.0,8986.0,0.0
904,2001-03-26,14443.0,14912.0,14443.0,14712.0,14712.0,0.0
4751,2016-07-12,53961.0,54746.0,53961.0,54256.0,54256.0,3878700.0
5678,2020-03-30,73431.0,75430.0,73184.0,74640.0,74640.0,9032200.0
1075,2001-11-20,12992.0,12998.0,12619.0,12638.0,12638.0,0.0
280,1998-11-03,7047.0,7515.0,7047.0,7509.0,7509.0,0.0
2180,2006-03-01,38610.0,39203.0,38533.0,39178.0,39178.0,0.0
2570,2007-09-13,53883.0,55087.0,53883.0,54908.0,54908.0,3627600.0
5228,2018-06-04,77244.0,78637.0,77244.0,78596.0,78596.0,4023100.0
5372,2019-01-04,91577.0,92701.0,90824.0,91841.0,91841.0,5322100.0
2442,2007-03-12,44133.0,44406.0,43845.0,44249.0,44249.0,116185400.0
4668,2016-03-14,49639.0,50166.0,48757.0,48867.0,48867.0,4801100.0
998,2001-08-03,13840.0,13902.0,13733.0,13838.0,13838.0,0.0
4830,2016-11-03,63325.0,63524.0,61750.0,61750.0,61750.0,4124000.0
2036,2005-08-04,26714.0,26960.0,26440.0,26470.0,26470.0,0.0
3000,2009-06-15,53558.0,53558.0,51252.0,52034.0,52034.0,1662800.0
6063,2021-10-19,114422.0,114422.0,109947.0,110673.0,110673.0,14129200.0
2646,2008-01-09,62078.0,62674.0,61487.0,62674.0,62674.0,3480400.0
1718,2004-05-07,19184.0,19184.0,18573.0,18620.0,18620.0,0.0
5146,2018-02-01,84913.0,86028.0,84833.0,85495.0,85495.0,4085300.0
2458,2007-04-03,45601.0,46481.0,45601.0,46288.0,46288.0,208963000.0
3077,2009-10-01,61519.0,61519.0,60306.0,60459.0,60459.0,1401200.0
4039,2013-08-23,51401.0,52197.0,51166.0,52197.0,52197.0,5887800.0
3555,2011-09-06,54998.0,56676.0,54121.0,56607.0,56607.0,2846800.0
4744,2016-07-01,51540.0,52346.0,51411.0,52233.0,52233.0,4116100.0
6131,2022-01-27,111303.0,113057.0,111303.0,112315.0,112315.0,14812000.0
1891,2005-01-05,24859.0,25001.0,24523.0,24692.0,24692.0,0.0
5340,2018-11-13,85531.0,85941.0,84071.0,84914.0,84914.0,4410700.0
1584,2003-11-03,17983.0,18517.0,17983.0,18517.0,18517.0,0.0
3757,2012-07-02,54355.0,54754.0,53961.0,54693.0,54693.0,2874200.0
1156,2002-03-13,14191.0,14352.0,14100.0,14244.0,14244.0,0.0
